date,mktrf,smb,hml,rf,umd
1926/07/01,0.001000,-0.002400,-0.002800,0.00009,
1926/07/02,0.004500,-0.003200,-0.000800,0.00009,
1926/07/06,0.001700,0.002700,-0.003500,0.00009,
1926/07/07,0.000900,-0.005900,0.000300,0.00009,
1926/07/08,0.002100,-0.003600,0.001500,0.00009,
1926/07/09,-0.007100,0.004400,0.005600,0.00009,
1926/07/10,0.006200,-0.005000,-0.001500,0.00009,
1926/07/12,0.000400,0.000300,0.005400,0.00009,
1926/07/13,0.004800,-0.002600,-0.002300,0.00009,
1926/07/14,0.000400,0.000900,-0.004800,0.00009,
1926/07/15,-0.004300,0.005400,-0.003000,0.00009,
1926/07/16,0.005300,0.000100,-0.005700,0.00009,
1926/07/17,0.003400,0.004300,-0.006300,0.00009,
1926/07/19,-0.000100,0.000100,-0.004900,0.00009,
1926/07/20,-0.005700,-0.002300,0.001600,0.00009,
1926/07/21,-0.006000,0.002100,0.003100,0.00009,
1926/07/22,-0.007300,-0.003000,-0.001700,0.00009,
1926/07/23,-0.000200,0.000800,0.000600,0.00009,
1926/07/24,-0.001400,0.004400,-0.000600,0.00009,
1926/07/26,0.005300,-0.003800,-0.002500,0.00009,
1926/07/27,0.004300,-0.004500,0.002600,0.00009,
1926/07/28,0.010900,0.000400,-0.002800,0.00009,
1926/07/29,0.003600,-0.006100,-0.010100,0.00009,
1926/07/30,0.001400,-0.004700,0.005500,0.00009,
1926/07/31,0.004600,-0.001200,-0.001700,0.00009,
1926/08/02,0.008400,-0.002200,-0.000300,0.00010,
1926/08/03,0.004700,-0.002700,-0.006000,0.00010,
1926/08/04,-0.003600,0.001600,0.002500,0.00010,
1926/08/05,-0.000900,0.000100,0.007300,0.00010,
1926/08/06,0.006800,0.000800,0.001600,0.00010,
1926/08/07,0.004600,0.000800,-0.002400,0.00010,
1926/08/09,0.002100,-0.000400,-0.002600,0.00010,
1926/08/10,-0.014000,0.003400,0.002100,0.00010,
1926/08/11,-0.005700,0.002100,0.003400,0.00010,
1926/08/12,0.008400,-0.007700,0.004200,0.00010,
1926/08/13,0.005800,-0.008500,0.002500,0.00010,
1926/08/14,0.006900,0.001500,-0.003600,0.00010,
1926/08/16,0.000700,0.002300,0.007000,0.00010,
1926/08/17,-0.009500,0.003400,0.001600,0.00010,
1926/08/18,0.002600,0.000800,0.000400,0.00010,
1926/08/19,-0.006000,0.001200,0.001000,0.00010,
1926/08/20,-0.002000,-0.003600,0.004200,0.00010,
1926/08/21,0.003200,-0.000600,0.004900,0.00010,
1926/08/23,0.004900,-0.004800,0.006200,0.00010,
1926/08/24,-0.008400,0.005000,-0.000900,0.00010,
1926/08/25,-0.003200,-0.004300,0.002800,0.00010,
1926/08/26,0.005300,0.000900,0.005000,0.00010,
1926/08/27,0.003500,0.001300,-0.003900,0.00010,
1926/08/28,0.003400,0.001500,-0.000600,0.00010,
1926/08/30,0.003000,0.000000,0.004200,0.00010,
1926/08/31,0.005800,-0.005200,-0.000400,0.00010,
1926/09/01,0.005500,0.005200,-0.000800,0.00009,
1926/09/02,-0.000600,-0.000700,0.002100,0.00009,
1926/09/03,0.005000,-0.003000,0.000300,0.00009,
1926/09/07,0.005900,-0.002500,-0.002400,0.00009,
1926/09/08,-0.005100,-0.001000,0.000800,0.00009,
1926/09/09,-0.000700,0.001600,0.002600,0.00009,
1926/09/10,-0.008300,0.000900,-0.001300,0.00009,
1926/09/11,-0.004400,0.003200,0.001300,0.00009,
1926/09/13,-0.000300,-0.001100,0.005000,0.00009,
1926/09/14,0.009000,-0.006200,0.000900,0.00009,
1926/09/15,-0.002100,0.004000,-0.001900,0.00009,
1926/09/16,-0.001800,-0.003300,0.001000,0.00009,
1926/09/17,-0.010100,-0.001600,-0.002800,0.00009,
1926/09/18,0.007000,-0.002800,-0.001100,0.00009,
1926/09/20,-0.006400,0.000300,-0.000100,0.00009,
1926/09/21,0.003000,-0.004200,0.001900,0.00009,
1926/09/22,-0.001300,0.000500,-0.000100,0.00009,
1926/09/23,0.002600,-0.001600,0.000600,0.00009,
1926/09/24,0.006200,-0.001900,-0.000300,0.00009,
1926/09/25,0.002100,0.000200,-0.005600,0.00009,
1926/09/27,-0.001200,0.001400,0.003900,0.00009,
1926/09/28,0.000000,-0.000200,-0.003500,0.00009,
1926/09/29,-0.003000,0.002200,-0.001900,0.00009,
1926/09/30,0.003000,-0.002200,0.000600,0.00009,
1926/10/01,0.007300,-0.002700,-0.002300,0.00013,
1926/10/02,-0.001000,-0.000200,-0.000800,0.00013,
1926/10/04,-0.014000,-0.001000,-0.001000,0.00013,
1926/10/05,-0.011000,0.004400,-0.007200,0.00013,
1926/10/06,-0.005600,-0.006900,-0.002800,0.00013,
1926/10/07,-0.007700,0.003200,0.003000,0.00013,
1926/10/08,0.005900,-0.003600,0.005800,0.00013,
1926/10/09,-0.009600,0.004400,-0.000500,0.00013,
1926/10/11,-0.006900,-0.000800,-0.001600,0.00013,
1926/10/13,0.006900,-0.003100,-0.000400,0.00013,
1926/10/14,0.009700,-0.004700,0.010800,0.00013,
1926/10/15,-0.018300,0.001300,-0.002900,0.00013,
1926/10/16,-0.007300,-0.003400,0.004200,0.00013,
1926/10/18,0.007000,-0.001600,0.004600,0.00013,
1926/10/19,-0.010600,0.004000,-0.005400,0.00013,
1926/10/20,-0.002500,-0.005900,-0.011700,0.00013,
1926/10/21,0.015300,-0.001200,0.005500,0.00013,
1926/10/22,-0.004000,0.004400,0.002000,0.00013,
1926/10/23,0.005400,0.005000,0.001900,0.00013,
1926/10/25,-0.001000,0.003500,-0.000300,0.00013,
1926/10/26,0.003200,0.000200,0.003000,0.00013,
1926/10/27,0.010000,-0.004700,0.001900,0.00013,
1926/10/28,-0.000800,0.006900,0.002000,0.00013,
1926/10/29,-0.000600,0.000100,-0.003300,0.00013,
1926/10/30,-0.002500,0.002000,0.002500,0.00013,
1926/11/01,0.004600,-0.001100,-0.004300,0.00013,
1926/11/03,0.002000,-0.002400,-0.002800,0.00013,0.005700
1926/11/04,0.005900,-0.001500,0.006900,0.00013,-0.005200
1926/11/05,0.000700,-0.000900,0.002300,0.00013,0.011500
1926/11/06,0.001600,-0.002900,0.000500,0.00013,-0.000400
1926/11/08,0.005200,-0.000700,0.000800,0.00013,-0.000100
1926/11/09,0.001300,0.002900,-0.004900,0.00013,0.001700
1926/11/10,-0.006000,0.001500,0.000900,0.00013,0.002800
1926/11/11,0.006700,0.000300,0.000900,0.00013,-0.009300
1926/11/12,0.002400,-0.000300,-0.003700,0.00013,-0.003100
1926/11/13,-0.002400,0.001200,-0.001600,0.00013,0.003900
1926/11/15,0.003700,0.002800,-0.002500,0.00013,-0.000600
1926/11/16,0.001500,-0.003100,-0.000600,0.00013,-0.000600
1926/11/17,-0.003500,-0.003500,0.004600,0.00013,0.001200
1926/11/18,-0.004800,0.001700,0.002000,0.00013,0.005300
1926/11/19,-0.006400,0.005600,0.000700,0.00013,0.002300
1926/11/20,0.004000,0.000100,0.001200,0.00013,-0.003300
1926/11/22,0.005700,0.001600,-0.002000,0.00013,-0.001100
1926/11/23,0.003300,0.000200,0.002000,0.00013,0.005400
1926/11/24,0.000800,-0.002200,0.002000,0.00013,-0.004200
1926/11/26,0.002000,-0.000200,0.000300,0.00013,-0.002100
1926/11/27,-0.001500,-0.000400,-0.002800,0.00013,0.003700
1926/11/29,-0.003700,-0.001300,0.000600,0.00013,-0.000900
1926/11/30,0.002600,0.000300,-0.005000,0.00013,0.001600
1926/12/01,0.003600,0.000500,-0.003400,0.00011,-0.000900
1926/12/02,0.005100,-0.000100,0.001000,0.00011,-0.000500
1926/12/03,0.003200,-0.000500,0.000600,0.00011,-0.005200
1926/12/04,-0.001700,0.002000,0.001000,0.00011,0.000600
1926/12/06,0.000400,0.003200,-0.003700,0.00011,0.001800
1926/12/07,-0.000400,0.003400,-0.005100,0.00011,0.002700
1926/12/08,-0.000800,0.002100,0.002500,0.00011,0.001900
1926/12/09,0.004500,-0.001500,0.004400,0.00011,-0.005400
1926/12/10,0.003500,-0.001700,0.005000,0.00011,0.000100
1926/12/11,0.000900,-0.001000,-0.005000,0.00011,-0.004800
1926/12/13,0.004200,0.006400,0.000000,0.00011,-0.007700
1926/12/14,0.001000,-0.000900,0.001400,0.00011,0.005900
1926/12/15,0.001700,-0.002200,0.002200,0.00011,-0.003000
1926/12/16,-0.006300,-0.002000,0.000500,0.00011,-0.000300
