date,smlo_vwret,smme_vwret,smhi_vwret,bilo_vwret,bime_vwret,bihi_vwret,smlo_ewret,smme_ewret,smhi_ewret,bilo_ewret,bime_ewret,bihi_ewret,smlo_nfirms,smme_nfirms,smhi_nfirms,bilo_nfirms,bime_nfirms,bihi_nfirms,smlo_msize,smme_msize,smhi_msize,bilo_msize,bime_msize,bihi_msize,smlo_level,smme_level,smhi_level,bilo_level,bime_level,bihi_level
1926/07/31,0.013724,0.009081,-0.000695,0.057168,0.019642,0.014222,0.018265,0.001066,-0.003456,0.032452,0.017912,0.023323,43,69,94,84,103,34,7.82,6.94,4.74,110,118.58,40.5,101.27906374,98.605152449,95.334884963,91.317694362,94.984317461,94.218054618
1926/08/31,0.006095,0.015075,0.053842,0.027154,0.026838,0.063154,0.003162,0.00777,0.052394,0.017484,0.020545,0.067474,43,69,94,84,103,34,7.91,6.99,4.73,116.01,120.63,41.04,102.66901761,99.500585838,95.268627218,96.538144313,96.849999425,95.558023791
1926/09/30,-0.026779,-0.001359,-0.004374,0.014287,0.000709,-0.007967,-0.041508,-0.007726,0.00457,-0.003088,-0.000856,-0.008468,43,69,94,84,102,34,7.95,7.07,4.98,118.75,123.87,43.58,103.29478528,101.00055717,100.39808064,99.159541084,99.449259709,101.59289523
1926/10/30,-0.035365,-0.043572,-0.020112,-0.035898,-0.02346,-0.04097,-0.042613,-0.04708,-0.022848,-0.030012,-0.023664,-0.043137,43,69,94,84,102,34,7.65,7.02,4.95,119.91,123.15,43.1,100.52865422,100.86329741,99.958939439,100.57623345,99.519769235,100.78350463
1926/11/30,0.03121,0.036608,0.020944,0.031292,0.028965,0.034614,0.003505,0.024674,0.022338,0.028951,0.037606,0.044267,43,69,94,84,102,34,7.37,6.7,4.85,115.32,119.98,41.3,96.973458364,96.468481818,97.948565249,96.965747819,97.185035448,96.654404445
1926/12/31,0.027364,0.018411,0.032639,0.029678,0.026067,0.02395,0.043615,0.0182,0.017269,0.023792,0.021816,0.020312,43,68,94,84,102,34,7.59,6.94,4.94,117.96,122.91,42.67,100,100,100,100,100,100
1927/01/31,-0.010001,-0.003782,0.039316,-0.002621,0.000347,0.044635,-0.014215,-0.017287,0.038784,0.004354,0.002616,0.044259,43,68,93,84,102,34,7.72,7,5.15,120.62,125.1,43.24,98.9999,99.6218,103.9316,99.7379,100.0347,104.4635
1927/02/28,0.039022,0.063784,0.066192,0.050044,0.035568,0.086305,0.033077,0.063184,0.07506,0.051286,0.03748,0.115871,43,68,90,84,102,34,7.63,6.96,5.46,119.99,124.83,45.11,102.8630741,105.97607689,110.81104047,104.72918347,103.59273421,113.47922237
1927/03/31,-0.016,-0.009889,-0.031676,0.013025,0.002071,-0.024764,-0.013579,-0.022787,-0.034896,-0.006777,-0.007091,-0.027706,43,68,90,84,102,34,7.92,7.38,5.81,125.41,128.77,48.94,101.21726491,104.92807947,107.30098995,106.09328108,103.80727476,110.66902291
1927/04/30,-0.013184,0.008741,0.034796,0.03051,-0.007634,-0.005452,-0.009895,0.007125,0.039072,0.011436,-0.003884,0.002217,43,68,90,84,101,34,7.74,7.25,5.62,126.44,128.91,47.54,99.882816492,105.84525581,111.0346352,109.33018709,103.01481003,110.06565539
