dateff,mktrf,smb,hml,rf,umd
1926/07/31,0.029600,-0.023000,-0.028700,0.00220,
1926/08/31,0.026400,-0.014000,0.041900,0.00250,
1926/09/30,0.003600,-0.013200,0.000100,0.00230,
1926/10/30,-0.032400,0.000400,0.005100,0.00320,
1926/11/30,0.025300,-0.002000,-0.003500,0.00310,
1926/12/31,0.026200,-0.000400,-0.000200,0.00280,
1927/01/31,-0.000600,-0.005600,0.048300,0.00250,0.004400
1927/02/28,0.041800,-0.001000,0.031700,0.00260,-0.020100
1927/03/31,0.001300,-0.016000,-0.026700,0.00300,0.035900
1927/04/30,0.004600,0.004300,0.006000,0.00250,0.041900
1927/05/31,0.054400,0.014100,0.049300,0.00300,0.030100
1927/06/30,-0.023400,0.004700,-0.015300,0.00260,0.005100
1927/07/30,0.072600,-0.032300,-0.011600,0.00300,0.043200
1927/08/31,0.019700,-0.007200,-0.036900,0.00280,0.011200
1927/09/30,0.047600,-0.035700,-0.007100,0.00210,0.019300
1927/10/31,-0.043100,0.021300,-0.043300,0.00250,-0.011100
1927/11/30,0.065800,0.027600,-0.003100,0.00210,-0.006800
1927/12/31,0.020900,0.009300,-0.010600,0.00220,0.031900
1928/01/31,-0.006800,0.042500,-0.007200,0.00250,-0.006000
1928/02/29,-0.017000,-0.020300,-0.006900,0.00330,-0.010200
1928/03/31,0.088100,-0.002600,-0.012000,0.00290,0.048700
1928/04/30,0.042300,0.038200,0.036700,0.00220,-0.056500
1928/05/31,0.015200,0.029800,-0.034600,0.00320,0.028500
1928/06/30,-0.048500,-0.035000,-0.000600,0.00310,0.020500
1928/07/31,0.006200,-0.013500,-0.004700,0.00320,0.027500
1928/08/31,0.066800,-0.020700,-0.021100,0.00320,0.036200
1928/09/29,0.028800,0.021800,0.007600,0.00270,0.036200
1928/10/31,0.013300,0.022700,-0.022600,0.00410,0.050500
1928/11/30,0.118100,-0.018100,0.028000,0.00380,0.019300
1928/12/31,0.003600,-0.008500,-0.006000,0.00060,0.017100
1929/01/31,0.046600,-0.035400,-0.012100,0.00340,0.024700
1929/02/28,-0.003400,-0.003900,0.016800,0.00360,0.030900
1929/03/28,-0.008900,-0.047800,0.015600,0.00340,-0.009200
1929/04/30,0.014300,-0.009900,0.006100,0.00360,0.018900
1929/05/31,-0.063900,-0.054600,-0.015700,0.00440,-0.020400
1929/06/29,0.097000,-0.021700,-0.027600,0.00520,0.087900
1929/07/31,0.044600,-0.038800,0.026600,0.00330,0.029400
1929/08/30,0.081800,-0.095200,0.000600,0.00400,0.046300
1929/09/30,-0.054700,0.011700,-0.006300,0.00350,0.030400
1929/10/31,-0.201200,-0.040800,0.078500,0.00460,0.040900
1929/11/27,-0.127400,-0.019100,0.053300,0.00370,-0.020200
1929/12/31,0.013300,-0.042000,-0.005900,0.00370,0.051500
1930/01/31,0.056100,0.035800,-0.010100,0.00140,-0.050400
1930/02/28,0.025000,0.001200,0.003900,0.00300,0.004200
1930/03/31,0.071000,0.034400,0.001500,0.00350,-0.041800
1930/04/30,-0.020600,-0.001700,-0.008400,0.00210,0.039400
1930/05/29,-0.016600,-0.020400,-0.006300,0.00260,-0.000100
1930/06/30,-0.162700,-0.032200,0.020000,0.00270,0.066100
1930/07/31,0.041200,-0.003700,-0.015600,0.00200,-0.021600
1930/08/29,0.003000,-0.022200,-0.007800,0.00090,0.039500
1930/09/30,-0.127500,-0.022200,-0.052700,0.00220,0.114400
1930/10/31,-0.087800,-0.001000,-0.013500,0.00090,0.069500
1930/11/29,-0.030400,0.022100,-0.035300,0.00130,-0.011700
1930/12/31,-0.078300,-0.046800,-0.053900,0.00140,0.132900
1931/01/31,0.062400,0.038100,0.072100,0.00150,-0.109400
1931/02/28,0.108800,0.033900,0.016000,0.00040,-0.143700
1931/03/31,-0.064300,0.030700,-0.036500,0.00130,0.095500
1931/04/30,-0.099800,-0.046100,-0.039200,0.00080,0.114200
1931/05/29,-0.132400,0.051600,-0.065700,0.00090,0.090300
1931/06/30,0.139000,-0.053800,0.113000,0.00080,-0.178500
1931/07/31,-0.066200,0.014300,-0.021000,0.00060,0.080500
1931/08/31,0.004100,-0.019700,-0.014900,0.00030,-0.035200
1931/09/30,-0.291300,0.005600,-0.067500,0.00030,0.101800
1931/10/31,0.080400,-0.018700,0.017000,0.00100,0.032800
1931/11/30,-0.090800,0.043000,-0.050500,0.00170,0.076100
1931/12/31,-0.135300,-0.005600,-0.088600,0.00120,0.141700
1932/01/30,-0.015800,0.039400,0.090400,0.00230,-0.103200
1932/02/29,0.054600,-0.027700,-0.014500,0.00230,0.016200
1932/03/31,-0.112100,0.022700,-0.023200,0.00160,0.103300
1932/04/30,-0.179600,0.014400,0.014200,0.00110,0.069500
1932/05/31,-0.205100,0.037200,-0.032800,0.00060,0.122000
1932/06/30,-0.007000,0.003500,0.053200,0.00020,0.021000
1932/07/30,0.338400,-0.044400,0.354600,0.00030,-0.439400
1932/08/31,0.370600,0.142900,0.330300,0.00030,-0.522600
1932/09/30,-0.029400,-0.024300,-0.068200,0.00030,0.024400
1932/10/31,-0.131700,-0.027600,-0.100400,0.00020,0.042900
1932/11/30,-0.058800,0.020800,-0.132800,0.00020,-0.020900
1932/12/31,0.044000,-0.082700,-0.081700,0.00010,0.052600
1933/01/31,0.012500,0.006900,0.062300,0.00010,-0.015300
1933/02/28,-0.152400,-0.027500,-0.027300,-0.00030,0.041900
1933/03/31,0.032900,0.039000,0.073800,0.00040,0.023500
1933/04/29,0.388500,0.045600,0.174300,0.00100,-0.159500
1933/05/31,0.214300,0.367000,0.190300,0.00040,-0.039200
1933/06/30,0.131100,0.086700,-0.018800,0.00020,0.035400
1933/07/31,-0.096300,-0.010100,0.032700,0.00020,0.004100
1933/08/31,0.120500,-0.054500,0.029600,0.00030,0.075100
1933/09/30,-0.106500,-0.003200,-0.117700,0.00020,0.016500
1933/10/31,-0.083600,-0.000800,-0.084600,0.00010,-0.022800
1933/11/29,0.099700,-0.064800,0.023300,0.00020,0.063500
1933/12/30,0.018300,0.006600,-0.015300,0.00020,0.039600
1934/01/31,0.126000,0.125300,0.155400,0.00050,-0.031000
1934/02/28,-0.025000,0.051900,0.021200,0.00020,-0.002500
1934/03/31,0.000900,0.025100,-0.027300,0.00020,-0.008600
1934/04/30,-0.017900,0.028000,-0.037500,0.00010,-0.051200
1934/05/31,-0.072500,-0.002600,-0.059100,0.00010,-0.028300
1934/06/30,0.026400,-0.021400,-0.029200,0.00010,-0.009600
1934/07/31,-0.109600,-0.069400,-0.106600,0.00010,0.087300
1934/08/31,0.055800,0.054200,0.005000,0.00010,0.024100
1934/09/29,-0.002300,-0.015200,-0.012400,0.00010,-0.001000
1934/10/31,-0.016600,0.012400,-0.051100,0.00010,0.069100
1934/11/30,0.083300,0.064900,-0.022400,0.00010,0.042200
1934/12/31,0.003600,0.030800,-0.031700,0.00010,0.046300
1935/01/31,-0.034500,0.010700,-0.018900,0.00010,0.036000
1935/02/28,-0.019400,0.004200,-0.072400,0.00020,0.137500
1935/03/30,-0.036800,-0.035400,-0.050600,0.00010,0.028600
1935/04/30,0.090600,-0.015600,0.042700,0.00010,-0.047200
1935/05/31,0.034700,-0.033400,0.026100,0.00010,-0.036700
1935/06/29,0.059300,-0.025100,-0.016500,0.00010,0.020700
